,zoom,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,0.5,0.20144294,0.0050755646,0.00056954275,0.07660889,18.838379,,0.07327005,0.9061005,0.750482
1,0.525,0.1848755,0.0048915837,0.0005316396,0.07576866,19.147068,,0.06897102,0.9078022,0.7681599
