,brightness,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-1.0,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
1,-0.98,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
2,-0.96,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
3,-0.94,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
4,-0.92,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
5,-0.9,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
6,-0.88,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
7,-0.86,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
8,-0.84,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
9,-0.8200000000000001,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
10,-0.8,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
11,-0.78,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
12,-0.76,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
13,-0.74,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
14,-0.72,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
15,-0.7,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
16,-0.6799999999999999,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
17,-0.6599999999999999,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
18,-0.64,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
19,-0.62,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
20,-0.6,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
21,-0.5800000000000001,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
22,-0.56,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
23,-0.54,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
24,-0.52,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
25,-0.5,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
26,-0.48,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
27,-0.45999999999999996,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
28,-0.43999999999999995,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
29,-0.42000000000000004,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
30,-0.4,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
31,-0.38,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
32,-0.36,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
33,-0.33999999999999997,0.6581413745880127,0.006732800509780645,0.0009491255041211843,0.06278800964355469,-inf,,0.12564603984355927,0.8970705270767212,0.32586103677749634
34,-0.31999999999999995,0.6581106781959534,0.006732783745974302,0.0009491149103268981,0.06278795748949051,-inf,,0.12564603984355927,0.8970707654953003,0.3258633613586426
35,-0.29999999999999993,0.6574316024780273,0.006732264533638954,0.000948797445744276,0.06278669834136963,-inf,,0.12564493715763092,0.8970744013786316,0.3259779214859009
36,-0.28,0.6541097164154053,0.006729043088853359,0.0009469435317441821,0.06278002262115479,-inf,,0.1256226748228073,0.8970988392829895,0.32690954208374023
37,-0.26,0.645846426486969,0.006718653719872236,0.0009413682273589075,0.06275857985019684,-inf,,0.12541615962982178,0.8971819281578064,0.32999488711357117
38,-0.24,0.6315655708312988,0.006693772040307522,0.0009289916488341987,0.06270522624254227,-inf,,0.1248055249452591,0.8973920941352844,0.3371102809906006
39,-0.21999999999999997,0.6116843223571777,0.006643379107117653,0.0009059185977093875,0.06259439885616302,-inf,,0.12336298823356628,0.8978414535522461,0.35085582733154297
