,blur,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,0.0,0.030605925247073174,0.0,0.0,0.0,inf,,0.0,1.0,1.0
1,1.0,0.030605925247073174,0.0,0.0,0.0,inf,,0.0,1.0,1.0
2,2.0,0.030634449794888496,0.00010307909542461857,2.4642136509100965e-07,0.014558058232069016,49.91046142578125,,0.004680092912167311,0.9978653192520142,0.999421238899231
3,3.0,0.030634449794888496,0.00010307909542461857,2.4642136509100965e-07,0.014558058232069016,49.91046142578125,,0.004680092912167311,0.9978653192520142,0.999421238899231
4,4.0,0.03101160377264023,0.0002023470151470974,8.451143571619468e-07,0.020153474062681198,44.6582145690918,,0.014288845472037792,0.9913538694381714,0.9979547262191772
5,5.0,0.03101160377264023,0.0002023470151470974,8.451143571619468e-07,0.020153474062681198,44.6582145690918,,0.014288845472037792,0.9913538694381714,0.9979547262191772
6,6.0,0.03217753767967224,0.0003486174391582608,1.9933813746320084e-06,0.024162335321307182,40.891387939453125,,0.025308948010206223,0.9820400476455688,0.9954936504364014
7,7.0,0.03217753767967224,0.0003486174391582608,1.9933813746320084e-06,0.024162335321307182,40.891387939453125,,0.025308948010206223,0.9820400476455688,0.9954936504364014
8,8.0,0.034496381878852844,0.0005105352611280978,3.682721853692783e-06,0.026911642402410507,38.13105392456055,,0.03598875552415848,0.9726818799972534,0.9923343658447266
9,9.0,0.034496381878852844,0.0005105352611280978,3.682721853692783e-06,0.026911642402410507,38.13105392456055,,0.03598875552415848,0.9726818799972534,0.9923343658447266
10,10.0,0.03838957101106644,0.0006679532816633582,5.746870101575041e-06,0.028832407668232918,36.083824157714844,,0.04530506953597069,0.96429842710495,0.9889073371887207
11,11.0,0.03838957101106644,0.0006679532816633582,5.746870101575041e-06,0.028832407668232918,36.083824157714844,,0.04530506953597069,0.96429842710495,0.9889073371887207
12,12.0,0.04330127313733101,0.0008086887537501752,7.921518772491254e-06,0.030139850452542305,34.57378005981445,,0.05275550112128258,0.9571068286895752,0.9856399297714233
13,13.0,0.04330127313733101,0.0008086887537501752,7.921518772491254e-06,0.030139850452542305,34.57378005981445,,0.05275550112128258,0.9571068286895752,0.9856399297714233
14,14.0,0.04802638292312622,0.0009251486044377089,9.940002200892195e-06,0.030999522656202316,33.482872009277344,,0.05823056772351265,0.9511592388153076,0.9828530550003052
15,15.0,0.04802638292312622,0.0009251486044377089,9.940002200892195e-06,0.030999522656202316,33.482872009277344,,0.05823056772351265,0.9511592388153076,0.9828530550003052
16,16.0,0.052011534571647644,0.0010144765255972743,1.161056752607692e-05,0.03154578059911728,32.72237014770508,,0.06194399669766426,0.9464631080627441,0.9807097911834717
17,17.0,0.052011534571647644,0.0010144765255972743,1.161056752607692e-05,0.03154578059911728,32.72237014770508,,0.06194399669766426,0.9464631080627441,0.9807097911834717
18,18.0,0.055058907717466354,0.0010779568692669272,1.2852884538006037e-05,0.03187885880470276,32.21755599975586,,0.06426937878131866,0.9429652690887451,0.9792191386222839
19,19.0,0.055058907717466354,0.0010779568692669272,1.2852884538006037e-05,0.03187885880470276,32.21755599975586,,0.06426937878131866,0.9429652690887451,0.9792191386222839
20,20.0,0.05716443806886673,0.0011197163257747889,1.368803896184545e-05,0.03206925839185715,31.901771545410156,,0.06561563163995743,0.9405348896980286,0.9782790541648865
21,21.0,0.05716443806886673,0.0011197163257747889,1.368803896184545e-05,0.03206925839185715,31.901771545410156,,0.06561563163995743,0.9405348896980286,0.9782790541648865
22,22.0,0.05848892033100128,0.00114513433072716,1.4198579265212175e-05,0.032170556485652924,31.716962814331055,,0.06633617728948593,0.938974142074585,0.9777395725250244
23,23.0,0.05848892033100128,0.00114513433072716,1.4198579265212175e-05,0.032170556485652924,31.716962814331055,,0.06633617728948593,0.938974142074585,0.9777395725250244
24,24.0,0.0592535063624382,0.0011594537645578384,1.4484034181805328e-05,0.03222101554274559,31.616254806518555,,0.06669320911169052,0.9380537271499634,0.97745680809021
25,25.0,0.0592535063624382,0.0011594537645578384,1.4484034181805328e-05,0.03222101554274559,31.616254806518555,,0.06669320911169052,0.9380537271499634,0.97745680809021
26,26.0,0.05965813621878624,0.0011669258819893003,1.463077660446288e-05,0.03224462643265724,31.565261840820312,,0.06685750186443329,0.9375569820404053,0.9773208498954773
27,27.0,0.05965813621878624,0.0011669258819893003,1.463077660446288e-05,0.03224462643265724,31.565261840820312,,0.06685750186443329,0.9375569820404053,0.9773208498954773
28,28.0,0.05985576659440994,0.0011705418583005667,1.4700429346703459e-05,0.03225491940975189,31.541284561157227,,0.0669279471039772,0.9373119473457336,0.9772606492042542
29,29.0,0.05985576659440994,0.0011705418583005667,1.4700429346703459e-05,0.03225491940975189,31.541284561157227,,0.0669279471039772,0.9373119473457336,0.9772606492042542
30,30.0,0.05994496867060661,0.0011721665505319834,1.4731064766237978e-05,0.03225910663604736,31.530813217163086,,0.06695612519979477,0.9372011423110962,0.9772360324859619
