,blur,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,0.0,0.4595875144004822,0.0,0.0,0.0,,,0.0,,
1,1.0,0.4595875144004822,0.0,0.0,0.0,,,0.0,,
2,2.0,0.4598105549812317,0.00013114837929606438,3.1634315291739767e-06,0.0358213447034359,,,0.01801059953868389,,
3,3.0,0.4598105549812317,0.00013114837929606438,3.1634315291739767e-06,0.0358213447034359,,,0.01801059953868389,,
4,4.0,0.460356742143631,0.00023491987667512149,5.678467914549401e-06,0.045772306621074677,,,0.030310852453112602,,
5,5.0,0.460356742143631,0.00023491987667512149,5.678467914549401e-06,0.045772306621074677,,,0.030310852453112602,,
6,6.0,0.4611734449863434,0.00034627114655449986,8.213723049266264e-06,0.05065601319074631,,,0.03950992599129677,,
7,7.0,0.4611734449863434,0.00034627114655449986,8.213723049266264e-06,0.05065601319074631,,,0.03950992599129677,,
8,8.0,0.4621855616569519,0.0004536800261121243,1.0726947948569432e-05,0.052976496517658234,,,0.047139972448349,,
9,9.0,0.4621855616569519,0.0004536800261121243,1.0726947948569432e-05,0.052976496517658234,,,0.047139972448349,,
10,10.0,0.46329745650291443,0.0005495507502928376,1.3088254490867257e-05,0.05414487421512604,,,0.05319929122924805,,
11,11.0,0.46329745650291443,0.0005495507502928376,1.3088254490867257e-05,0.05414487421512604,,,0.05319929122924805,,
12,12.0,0.464386522769928,0.0006298167281784117,1.5155806977418251e-05,0.054791416972875595,,,0.05767601355910301,,
13,13.0,0.464386522769928,0.0006298167281784117,1.5155806977418251e-05,0.054791416972875595,,,0.05767601355910301,,
14,14.0,0.46534669399261475,0.0006927706999704242,1.6827038052724674e-05,0.055166468024253845,,,0.06074024736881256,,
15,15.0,0.46534669399261475,0.0006927706999704242,1.6827038052724674e-05,0.055166468024253845,,,0.06074024736881256,,
16,16.0,0.46611523628234863,0.0007389012607745826,1.806809268600773e-05,0.05538640171289444,,,0.06266652047634125,,
17,17.0,0.46611523628234863,0.0007389012607745826,1.806809268600773e-05,0.05538640171289444,,,0.06266652047634125,,
