,y_shift,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-0.5,0.49679696559906006,0.0029582299757748842,0.00029508210718631744,0.08193545788526535,,,0.10438501089811325,,
1,-0.49,0.49679696559906006,0.003139469074085355,0.0003159085172228515,0.08422844856977463,,,0.10647571086883545,,
2,-0.48,0.49679696559906006,0.0032280117738991976,0.00032595134689472616,0.08535991609096527,,,0.10734233260154724,,
3,-0.47,0.49679696559906006,0.003314055735245347,0.0003355782537255436,0.086493581533432,,,0.10814980417490005,,
4,-0.46,0.4967944920063019,0.003474991535767913,0.0003529792884364724,0.08862482011318207,,,0.1095564216375351,,
5,-0.45,0.4967838525772095,0.003548411186784506,0.0003605778329074383,0.08962643146514893,,,0.11010906100273132,,
6,-0.44,0.4967588484287262,0.0036164443008601665,0.000367368949810043,0.09059745818376541,,,0.1106199100613594,,
7,-0.43,0.4967193901538849,0.003678052918985486,0.0003732399200089276,0.09152240306138992,,,0.11109121143817902,,
8,-0.42,0.4965888559818268,0.003781102364882827,0.0003823349834419787,0.09313123673200607,,,0.1118360087275505,,
9,-0.41000000000000003,0.49649202823638916,0.0038222442381083965,0.00038564950227737427,0.09378703683614731,,,0.11208090931177139,,
10,-0.4,0.49637842178344727,0.0038560950197279453,0.00038816750748082995,0.09435473382472992,,,0.11222932487726212,,
11,-0.39,0.4961259663105011,0.003903863485902548,0.0003912764950655401,0.09510675072669983,,,0.11230736970901489,,
12,-0.38,0.49598780274391174,0.00391907524317503,0.0003921046736650169,0.09534476697444916,,,0.11226064711809158,,
13,-0.37,0.4958406686782837,0.003929206635802984,0.00039257321623153985,0.09552451968193054,,,0.1121719628572464,,
14,-0.36,0.49569615721702576,0.003935328219085932,0.00039280520286411047,0.0956217497587204,,,0.112034372985363,,
15,-0.35,0.49539443850517273,0.00393981859087944,0.0003929266531486064,0.09559725224971771,,,0.11154792457818985,,
16,-0.33999999999999997,0.49524086713790894,0.0039400397799909115,0.0003929288941435516,0.09550927579402924,,,0.11118841916322708,,
17,-0.32999999999999996,0.4950851500034332,0.0039400397799909115,0.0003929288941435516,0.09538954496383667,,,0.11073662340641022,,
