,zoom,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,0.5,0.4786427617073059,0.0015926238847896457,0.00012497197894845158,0.07668058574199677,,,0.04610278457403183,,
1,0.525,0.47714415192604065,0.0015435242094099522,0.00011789734708145261,0.07706575840711594,,,0.04269418865442276,,
2,0.55,0.4752599000930786,0.0014942340785637498,0.00011068274034187198,0.07727328687906265,,,0.039786018431186676,,
3,0.575,0.47377100586891174,0.0014421372907236218,0.00010343187022954226,0.0772768035531044,,,0.03709743171930313,,
4,0.6,0.47264522314071655,0.0013879785547032952,9.62404374149628e-05,0.07690909504890442,,,0.03473307937383652,,
5,0.625,0.47103291749954224,0.001324653858318925,8.800917566986755e-05,0.0766989141702652,,,0.03178674727678299,,
6,0.65,0.4697535037994385,0.0012602901551872492,8.010560850379989e-05,0.07611969858407974,,,0.02923864684998989,,
7,0.675,0.46885302662849426,0.0011968286707997322,7.286955951713026e-05,0.07505342364311218,,,0.027210010215640068,,
8,0.7,0.4674343764781952,0.0011225530179217458,6.455725088017061e-05,0.07429657876491547,,,0.024441583082079887,,
9,0.725,0.4664284586906433,0.0010512435110285878,5.7186640333384275e-05,0.07303863763809204,,,0.02221756801009178,,
10,0.75,0.4654024541378021,0.0009720725938677788,4.947726847603917e-05,0.07124194502830505,,,0.020043490454554558,,
11,0.775,0.4648585021495819,0.0009005142492242157,4.3537198507692665e-05,0.0692858025431633,,,0.01804286800324917,,
12,0.8,0.4636772572994232,0.0008160383440554142,3.601891876314767e-05,0.06696074455976486,,,0.015845196321606636,,
13,0.825,0.4631252884864807,0.0007295241230167449,3.0144601623760536e-05,0.06381693482398987,,,0.013909591361880302,,
14,0.8500000000000001,0.4619963467121124,0.0006237390334717929,2.227324148407206e-05,0.05935012921690941,,,0.011551621370017529,,
15,0.875,0.46137598156929016,0.0005338575574569404,1.687572876107879e-05,0.05458417534828186,,,0.009776490740478039,,
16,0.9,0.4608106315135956,0.0004361361498013139,1.1785900824179407e-05,0.04831578582525253,,,0.008024241775274277,,
