,rotation,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-50.0,0.46093282103538513,0.0008119135163724422,6.812665378674865e-05,0.07627840340137482,,,0.036765679717063904,,
1,-49.0,0.4608991742134094,0.0007974016480147839,6.67731073917821e-05,0.07617131620645523,,,0.03633744642138481,,
2,-48.0,0.4608742296695709,0.0007826160290278494,6.542593473568559e-05,0.07606754451990128,,,0.03592190518975258,,
3,-47.0,0.4608505964279175,0.0007676597451791167,6.4071238739416e-05,0.07594875246286392,,,0.03549303486943245,,
4,-46.0,0.4608287215232849,0.0007524621905758977,6.270637095440179e-05,0.0758100226521492,,,0.03505192697048187,,
5,-45.0,0.4608003795146942,0.0007373415282927454,6.13393058301881e-05,0.0756700411438942,,,0.03460013493895531,,
6,-44.0,0.4607657194137573,0.0007222924032248557,5.997092739562504e-05,0.07553242892026901,,,0.03412875905632973,,
7,-43.0,0.4607354402542114,0.0007072832086123526,5.859627708559856e-05,0.07539048045873642,,,0.03363949432969093,,
8,-42.0,0.4607071280479431,0.0006921170279383659,5.722189962398261e-05,0.07524286210536957,,,0.033137980848550797,,
9,-41.0,0.46068075299263,0.0006767632439732552,5.5837444961071014e-05,0.07507757842540741,,,0.03263199329376221,,
10,-40.0,0.4606477618217468,0.0006610708078369498,5.445228816824965e-05,0.07490839809179306,,,0.03210146352648735,,
11,-39.0,0.4606148302555084,0.0006450469954870641,5.306413731887005e-05,0.07472429424524307,,,0.03157026320695877,,
12,-38.0,0.46058475971221924,0.0006286166026256979,5.1677096053026617e-05,0.07455199211835861,,,0.031029613688588142,,
13,-37.0,0.4605488181114197,0.0006114818388596177,5.0388283852953464e-05,0.07468070089817047,,,0.030423730611801147,,
14,-36.0,0.4605189561843872,0.0005973628140054643,4.889661795459688e-05,0.0741901621222496,,,0.029911715537309647,,
15,-35.0,0.46048516035079956,0.0005832630558870733,4.749274376081303e-05,0.07398630678653717,,,0.029340317472815514,,
16,-34.0,0.4604508876800537,0.000568760500755161,4.609282041201368e-05,0.07380533963441849,,,0.02875809371471405,,
17,-33.0,0.46041616797447205,0.0005540857091546059,4.468938277568668e-05,0.07360128313302994,,,0.02815556898713112,,
