,x_shift,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-0.5,0.49679696559906006,0.002957740565761924,0.00029495215858332813,0.08200502395629883,,,0.10156254470348358,,
1,-0.49,0.49679696559906006,0.0031381677836179733,0.0003157166065648198,0.0843346044421196,,,0.10311198979616165,,
2,-0.48,0.49679696559906006,0.003226523520424962,0.0003257756179664284,0.08548310399055481,,,0.10383730381727219,,
3,-0.47,0.49679696559906006,0.00331249856390059,0.0003354207146912813,0.0866008922457695,,,0.10447912663221359,,
4,-0.46,0.49679696559906006,0.0034731505438685417,0.0003528203524183482,0.08877934515476227,,,0.10565811395645142,,
5,-0.45,0.49679696559906006,0.0035466139670461416,0.0003604286175686866,0.08980036526918411,,,0.10620201379060745,,
6,-0.44,0.49679696559906006,0.003614614484831691,0.0003672206948976964,0.09075607359409332,,,0.10670710355043411,,
7,-0.43,0.49679696559906006,0.0036762398667633533,0.00037310042534954846,0.09169643372297287,,,0.10717373341321945,,
8,-0.42,0.49679696559906006,0.003779539605602622,0.0003822314611170441,0.09332048147916794,,,0.10796496272087097,,
9,-0.41000000000000003,0.49679696559906006,0.003820850048214197,0.0003855674003716558,0.09396637976169586,,,0.10823472589254379,,
10,-0.4,0.49679696559906006,0.0038548926822841167,0.0003881038574036211,0.09451854228973389,,,0.10842198133468628,,
11,-0.39,0.49679696559906006,0.003903204808011651,0.00039125228067860007,0.09524673223495483,,,0.10850341618061066,,
12,-0.38,0.49679696559906006,0.0039186738431453705,0.00039209428359754384,0.09547342360019684,,,0.10835824906826019,,
13,-0.37,0.49679696559906006,0.003929007798433304,0.0003925702185370028,0.0956585556268692,,,0.10816207528114319,,
14,-0.36,0.49679696559906006,0.003935263026505709,0.0003928049700334668,0.09574980288743973,,,0.1078399196267128,,
15,-0.35,0.49679696559906006,0.003939826972782612,0.00039292676956392825,0.09571950137615204,,,0.1069171354174614,,
16,-0.33999999999999997,0.49679696559906006,0.0039400397799909115,0.0003929288941435516,0.09563035517930984,,,0.10633924603462219,,
17,-0.32999999999999996,0.49679696559906006,0.0039400397799909115,0.0003929288941435516,0.09549880027770996,,,0.10567403584718704,,
