epoch,mean training loss,val MSE,val_SSIM,Downstream MAE
0,0.0,1.772493017051602e-05,0.9829048295021057,0.47236097729206084
1,0.31963738799095154,6.0482550888991686e-06,0.9917629494667053,0.4703990676403046
2,0.2810583710670471,5.1646333522512574e-06,0.9929850697517395,0.46682932472229005
3,0.28042685985565186,4.769243603732321e-06,0.993520583152771,0.46690206170082094
4,0.28065454959869385,5.118161885548034e-06,0.9932227253913879,0.4692394098043442
5,0.27914321422576904,6.582004785741447e-06,0.9921137056350708,0.4651609617471695
6,0.2799938917160034,4.989526109056897e-06,0.9932030115127564,0.46781855154037477
7,0.27775517106056213,4.562770689517493e-06,0.9937198796272277,0.46897532093524935
8,0.2786846160888672,6.513663443911355e-06,0.9918995156288147,0.4705804324150085
9,0.2779572308063507,4.9910378747881626e-06,0.9935172958374023,0.46906282937526705
10,0.2783958613872528,5.180732679946231e-06,0.9940051670074463,0.46594082903862
11,0.2781439423561096,4.717182306194445e-06,0.9934874982833862,0.4695401167869568
12,0.2779068946838379,4.404340357723413e-06,0.9942318696975708,0.4678342564105988
13,0.2773853838443756,4.5239400660648246e-06,0.9938032522201538,0.4683662050962448
14,0.27787959575653076,6.3228410435840484e-06,0.9924917659759521,0.4671287158727646
15,0.2769526243209839,4.6556550132663685e-06,0.9932254905700684,0.468469064950943
16,0.27738723158836365,5.093308087452897e-06,0.993292371749878,0.4671015682220459
17,0.2775321900844574,4.771342411913793e-06,0.9937982521057129,0.46708995628356936
18,0.27786076068878174,5.39000726530503e-06,0.9934606647491455,0.46562864136695864
19,0.27676132321357727,4.453415576790576e-06,0.9938899712562561,0.46921119141578677
20,0.2767028212547302,4.436403980434989e-06,0.9938078179359436,0.469532452583313
21,0.27701646089553833,4.845954736083513e-06,0.9936389155387878,0.4697337325811386
22,0.2770545780658722,4.6950621599535226e-06,0.9942897667884827,0.4669715030193329
23,0.2774542272090912,6.855708983493969e-06,0.9921431775093079,0.47175363028049466
24,0.27689361572265625,5.222435383984702e-06,0.992874662399292,0.46998231291770937
25,0.277331680059433,4.883466701357975e-06,0.9934801993370056,0.4664967174530029
26,0.2766372561454773,6.66869675842463e-06,0.9908046998977661,0.47085193085670474
27,0.2769891321659088,4.347813770436915e-06,0.994235472202301,0.4676842143535614
28,0.2765841484069824,5.56960637550219e-06,0.9933292450904846,0.46561861550807954
29,0.27692413330078125,4.37042905105045e-06,0.9941184000968933,0.4682565313577652
30,0.27817440032958984,5.446935361760552e-06,0.9928114919662475,0.471202068567276
31,0.2765515446662903,8.336194321600487e-06,0.9916506328582764,0.4642349534034729
32,0.2765933573246002,5.770688369011623e-06,0.9929676833152771,0.47056677341461184
33,0.2761833965778351,4.456543330888963e-06,0.994208876132965,0.46754928517341615
34,0.27613502740859985,7.308279626158765e-06,0.9907086114883423,0.472346123456955
35,0.2769160866737366,4.660753304051468e-06,0.994011468887329,0.46681041038036347
36,0.27606868743896484,5.23266667369171e-06,0.9939389419555664,0.46629824805259706
37,0.2762112617492676,5.112107275635935e-06,0.99370765209198,0.4655691423416138
38,0.27633553743362427,4.457780964003177e-06,0.9936539678573608,0.4700581181049347
39,0.2761348485946655,4.764314000567538e-06,0.9935322051048279,0.469563569188118
40,0.27619579434394836,4.2945006662193915e-06,0.9942006764411926,0.46835482931137085
41,0.33404648303985596,5.601353383099195e-06,0.9929237084388733,0.4711208095550537
42,0.2812651991844177,5.353688433388016e-06,0.993707516670227,0.46682713186740876
43,0.2779353857040405,4.714679482276551e-06,0.9939812064170838,0.4698044863939285
44,0.2772989869117737,4.199824699753663e-06,0.9943711504936218,0.46805488705635073
45,0.2772740125656128,7.078199163515819e-06,0.9910252022743226,0.4723391979932785
46,0.27677300572395325,5.668595089446171e-06,0.9921637091636658,0.47053372716903685
47,0.27661851048469543,4.533037599685485e-06,0.9938158283233642,0.4677079081535339
48,0.2763266861438751,4.259599269062164e-06,0.9940225338935852,0.46883552050590516
49,0.2762987017631531,6.559242276125587e-06,0.9929546041488647,0.46556467545032504
50,0.27652862668037415,4.2237675843352915e-06,0.9941585822105408,0.4687659113407135
51,0.27586954832077026,4.492503869187203e-06,0.9941953754425049,0.46939461171627045
52,0.2758335471153259,4.280392075088457e-06,0.9943836297988892,0.4679209932088852
53,0.2761511206626892,5.114302572110318e-06,0.9938749761581421,0.4672931226491928
54,0.2762749195098877,4.639680257241707e-06,0.9939693636894226,0.46714890623092653
55,0.2757718563079834,4.489208118684473e-06,0.9941766448020936,0.4676009016036987
56,0.2764964699745178,5.219144371949369e-06,0.9929850316047668,0.47036623656749726
57,0.27590426802635193,5.086023096737335e-06,0.9941303234100342,0.4666586880683899
58,0.2759048342704773,4.404828459882993e-06,0.9943250274658203,0.4674065797328949
59,0.275320440530777,4.480934378079837e-06,0.9939857096672058,0.46843010306358335
60,0.27556803822517395,5.157415629582829e-06,0.9934462704658509,0.4711703279018402
61,0.2758010923862457,6.416282156351372e-06,0.9927834682464599,0.47188354849815367
62,0.27542775869369507,5.461950055178022e-06,0.99260870885849,0.4709502160549164
63,0.2757886052131653,9.706359127449104e-06,0.9898433313369751,0.47333280885219575
64,0.27647024393081665,4.797230572876288e-06,0.9937203688621521,0.47009494376182553
65,0.27538546919822693,4.2328604267822815e-06,0.9943215408325196,0.46803918993473054
66,0.2754293382167816,4.773670594659052e-06,0.9935428881645203,0.4685585843324661
67,0.27561676502227783,4.388689229017473e-06,0.9940530772209167,0.4672786877155304
68,0.27520182728767395,4.587329589412548e-06,0.9938882632255555,0.4691311099529266
69,0.275586873292923,6.388994415829075e-06,0.9928512778282166,0.4717278609275818
70,0.2751272916793823,4.412893093103776e-06,0.9942036457061768,0.4669518663883209
71,0.2755398154258728,4.484070650505601e-06,0.994009340763092,0.4691907467842102
72,0.2759295403957367,4.306967368393088e-06,0.9941099367141724,0.4679298359155655
73,0.27504849433898926,4.382515169709223e-06,0.9942588047981262,0.468053014755249
74,0.2754204571247101,4.849137010751292e-06,0.9939269714355469,0.46643912041187285
75,0.2753959000110626,6.969423247937812e-06,0.9930828981399537,0.46479468774795535
76,0.2755759656429291,4.4360575502651045e-06,0.9940470180511475,0.4673134177923203
77,0.2754434645175934,4.057067064422881e-06,0.9945621151924133,0.46799070250988006
78,0.27500540018081665,4.2254305408278015e-06,0.9944487309455872,0.4673125808238983
79,0.27508628368377686,4.770438355990336e-06,0.9937232069969177,0.467685953617096
80,0.2751426100730896,4.477981121453922e-06,0.993912742614746,0.4670418450832367
81,0.27500250935554504,4.5562796985905155e-06,0.9938217906951904,0.4690940059423447
82,0.2753695845603943,5.885049025891931e-06,0.9924221587181091,0.4714645406007767
83,0.27525365352630615,4.240212838340085e-06,0.994211944103241,0.46879009890556333
