epoch,mean training loss,val MSE,val_SSIM,Downstream MAE
0,0.0,5.2957809930376245e-06,0.9940353055000305,0.06285949389636517
1,0.5015324354171753,4.167821831288165e-06,0.9947343435287476,0.062019570007920265
2,0.3361864387989044,4.672632714573411e-06,0.9941966638565064,0.0582078747600317
3,0.29997503757476807,4.044830053317128e-06,0.9945310788154602,0.061471709027886394
4,0.4093819260597229,4.267013377102558e-06,0.9941431527137756,0.06283353501558304
5,0.2982878088951111,4.253210125170881e-06,0.9942596216201782,0.061618675008416175
6,0.2815130650997162,4.24201835085114e-06,0.9946385970115662,0.0625027732104063
7,0.2798082232475281,4.131014937229338e-06,0.9948333201408386,0.060597846001386645
8,0.2770450711250305,4.2189872456219746e-06,0.9946114974021911,0.06011242464184761
9,0.2769268751144409,4.189006376691395e-06,0.9947959175109863,0.06233243429660797
10,0.29132401943206787,4.277751695553889e-06,0.9945367646217346,0.06283210538327694
11,0.2788519859313965,4.087363246071618e-06,0.994856689453125,0.06143454127013683
12,0.27507472038269043,3.980627427154104e-06,0.994898368358612,0.06261195415258408
13,0.27771735191345215,4.086130373252672e-06,0.9947856268882751,0.06146509152650833
14,0.28209584951400757,4.254565959854517e-06,0.9940440602302552,0.059941447287797926
15,0.2788482904434204,4.29291841101076e-06,0.9940149064064026,0.06276695774495601
16,0.2766105532646179,4.1148771342705004e-06,0.9942853927612305,0.06614857023954392
17,0.2759496569633484,4.0792393338051625e-06,0.9947069811820984,0.05776708057522774
18,0.28648367524147034,4.285564424208133e-06,0.9941760296821595,0.06298665487766265
19,0.2790044844150543,4.087794821316493e-06,0.9946706881523132,0.058651450991630556
20,0.27628403902053833,4.327943879616214e-06,0.9942751812934876,0.06358652956783771
21,0.27814072370529175,4.688329991040518e-06,0.993792806148529,0.06420965179800987
22,0.28322523832321167,4.5564198808278885e-06,0.9940384268760681,0.06547142785787582
23,0.27884137630462646,3.971198721046676e-06,0.9945998401641846,0.05953958490490913
24,0.2751171886920929,4.170954885921674e-06,0.9944817686080932,0.05868242990970612
25,0.27721524238586426,4.054985494803986e-06,0.9945445256233215,0.060989751264452934
26,0.280452698469162,4.2712289268820315e-06,0.9945197510719299,0.06389094157516956
27,0.2829579710960388,4.103049905097578e-06,0.9946045060157775,0.06279562166333198
28,0.27649760246276855,4.16039156880288e-06,0.9942883996963501,0.06395573651790619
29,0.2781811058521271,4.216408202410093e-06,0.9941397209167481,0.06244998769462109
30,0.27988308668136597,4.411749430801138e-06,0.9939245171546937,0.0626608265042305
31,0.27858448028564453,4.111379426831263e-06,0.9943910899162293,0.06695443202555179
32,0.2779915928840637,4.064473589096451e-06,0.9946023769378662,0.0615001427680254
33,0.2794249355792999,4.190746136373491e-06,0.9944851598739624,0.06486296592652797
34,0.2774757444858551,4.16748025418201e-06,0.9944458513259887,0.06209924368560314
35,0.27826982736587524,4.097055130841909e-06,0.9944514412879943,0.06285764773190021
36,0.2765331268310547,4.2401081936986885e-06,0.9947557454109192,0.0640058218985796
37,0.27564537525177,4.176868969807401e-06,0.9942745456695556,0.06305881915986537
38,0.2784750461578369,4.17187306265987e-06,0.9944010648727417,0.06193182015419006
39,0.27859023213386536,4.403536680911202e-06,0.9940829172134399,0.068666896879673
40,0.27724897861480713,4.904219962554634e-06,0.9936390652656555,0.06359729433059692
41,0.2767198085784912,4.264541592419846e-06,0.9943589448928833,0.062475891411304475
42,0.27645978331565857,4.137933552556205e-06,0.9946589298248291,0.05997628089785576
43,0.27932560443878174,4.2022842208098155e-06,0.9946610460281372,0.06264154894649983
44,0.2804664671421051,4.323310469771968e-06,0.9944194617271424,0.06448241470754147
45,0.2760462760925293,4.467723145353375e-06,0.9944936509132385,0.06319689691066742
46,0.275424599647522,4.803013755008578e-06,0.9939146699905396,0.06288867059350013
47,0.27609655261039734,4.0009928852668965e-06,0.9946819152832032,0.0635349218249321
48,0.2782251238822937,4.258665394445416e-06,0.9944742932319641,0.06427108342945576
49,0.2787575125694275,4.140688395636971e-06,0.9946000852584839,0.06364874218404293
50,0.2774479389190674,4.1101811475527936e-06,0.994693145275116,0.0637981258034706
51,0.27660149335861206,4.256469850588473e-06,0.9942480473518371,0.06454864270985126
52,0.27713167667388916,4.108073657334898e-06,0.9944627981185913,0.060669136509299275
53,0.2772788107395172,4.806304164958419e-06,0.9945272493362427,0.06208587835729122
54,0.2774379253387451,4.45347646746086e-06,0.9941571793556213,0.062406050845980644
55,0.27640169858932495,4.0993807015183844e-06,0.9946179971694946,0.062184115439653395
56,0.27509552240371704,4.104046942302375e-06,0.9945526542663574,0.06120190042257309
57,0.277749240398407,4.5197747222118776e-06,0.9944046483039856,0.06362629522383213
58,0.2772061228752136,4.138690326726646e-06,0.9945964217185974,0.06213172885775566
59,0.27800804376602173,4.312208451665356e-06,0.9942700977325439,0.06153497640788555
60,0.27710580825805664,4.228587495163083e-06,0.99424738407135,0.06254519566893578
61,0.27594512701034546,4.082679899511277e-06,0.9943526148796081,0.06378394474089145
62,0.2766643166542053,4.012589382909937e-06,0.9944386472702026,0.06362098491191864
63,0.2784532904624939,5.122346237840247e-06,0.993333517074585,0.0674793868213892
64,0.2786839008331299,4.042547714561806e-06,0.9945315489768982,0.060811272770166395
65,0.27574121952056885,4.03217430539371e-06,0.9946791839599609,0.06077925792336464
66,0.27496224641799927,4.58840745704947e-06,0.9938430080413818,0.06461415967345238
67,0.27727335691452026,4.0491122908861144e-06,0.9945160880088806,0.0634403219819069
68,0.27625584602355957,4.401473835969227e-06,0.9945110716819763,0.06404526017606259
69,0.2781517505645752,4.192517651972594e-06,0.9944906220436096,0.06308578841388225
70,0.27606138586997986,4.3583933693298605e-06,0.9941416492462158,0.0623161458671093
71,0.27634719014167786,4.304410644181189e-06,0.9944464855194092,0.06284491136670113
72,0.27522674202919006,4.552172267722199e-06,0.9938580040931702,0.0650785356760025
73,0.27619343996047974,4.0030731124716116e-06,0.9947002277374267,0.062206766575574876
74,0.2769564390182495,4.077570138178999e-06,0.9945416240692139,0.06481403121352196
75,0.27790844440460205,4.811452332432964e-06,0.9938519921302795,0.0660217791646719
76,0.27707481384277344,4.383104595035548e-06,0.9942505087852478,0.0638931114524603
77,0.27618342638015747,4.353465905296616e-06,0.9944505290985107,0.06188888284564018
78,0.27558013796806335,4.15544389943534e-06,0.9943746852874756,0.06124829676747322
79,0.2776103615760803,4.354655566203291e-06,0.9940073843002319,0.0621903717815876
80,0.27701905369758606,4.1698248987813716e-06,0.994560706615448,0.06258742891252041
81,0.27677130699157715,4.130337492824765e-06,0.9945232214927673,0.06475585480034352
82,0.2757599651813507,4.270782323146705e-06,0.9943237695693969,0.06267177933454514
83,0.27580660581588745,4.840463132495642e-06,0.9938711104393005,0.059456568315625194
84,0.2782837152481079,4.177171658739098e-06,0.9943023991584777,0.06283524416387082
85,0.2769472002983093,4.222661173116648e-06,0.9942598290443421,0.06482289484143257
86,0.27589812874794006,4.208154286970967e-06,0.9943866143226624,0.06172477450966835
87,0.27647894620895386,4.115839756195783e-06,0.9945310173034668,0.06167752510309219
88,0.2758212685585022,5.333771827281453e-06,0.9942275929450989,0.06083416348695755
89,0.2778380811214447,4.415559524204582e-06,0.9945140042304993,0.060521555185317995
90,0.277370810508728,4.197939750156365e-06,0.9944104280471802,0.06456405726075172
91,0.2758532762527466,4.331976935645798e-06,0.9941645374298096,0.0641089239269495
92,0.27512553334236145,4.317236753195175e-06,0.9944935307502747,0.0628226753026247
93,0.27602073550224304,4.525898011706886e-06,0.9944525680541992,0.06262739136815071
94,0.27654802799224854,4.222601073706756e-06,0.9944500918388367,0.06215016084909439
95,0.27710434794425964,4.333301878432394e-06,0.9941478095054627,0.06046493802964687
96,0.2758922874927521,4.280369703337783e-06,0.9943624291419982,0.06259391617774963
97,0.27530866861343384,4.484463528569904e-06,0.9943381834030152,0.062091040834784506
98,0.2756560146808624,4.12526215222897e-06,0.9944807367324829,0.06260294890403748
99,0.2753695845603943,4.237823024595855e-06,0.9943823614120484,0.06225963236391544
100,0.274850457906723,4.366244680568343e-06,0.9942884359359742,0.06423652684688567
101,0.27630478143692017,4.6079751336947086e-06,0.9940956521034241,0.06519710133969783
102,0.2767966687679291,4.175721865976812e-06,0.9945312585830689,0.06312619557976723
103,0.2754287123680115,4.164134352322435e-06,0.9944737792015076,0.06127803722023964
104,0.27454113960266113,4.147765368543333e-06,0.9944370312690735,0.06355003064870834
105,0.2761750817298889,4.099870518984972e-06,0.9944823966026306,0.06081562292575836
106,0.2746914327144623,4.432356219695066e-06,0.9944163470268249,0.0603862045109272
107,0.27548378705978394,4.0961293743748685e-06,0.9946689157485962,0.06227565775811672
108,0.2747805714607239,4.1855395484162725e-06,0.9947588186264038,0.06280218124389648
109,0.2761298418045044,4.143808193475707e-06,0.994549084186554,0.06378823682665825
110,0.2757297456264496,4.23153912925045e-06,0.9945544958114624,0.0636300505399704
111,0.27478814125061035,4.202443076792406e-06,0.994063581943512,0.06407226498425007
112,0.2758200168609619,4.072547819305328e-06,0.9946442241668702,0.06342838497459888
113,0.2763329744338989,4.24192497121112e-06,0.9943910932540894,0.05979726853966713
114,0.27460139989852905,4.192834596324246e-06,0.994376262664795,0.0622901946157217
115,0.27565431594848633,4.690319097790052e-06,0.9936170592308045,0.06510176277160644
116,0.2757560610771179,4.09139984549256e-06,0.9945377926826477,0.06066501218080521
117,0.2764057219028473,4.641050787540735e-06,0.9943739943504334,0.06037447541952133
118,0.2767377495765686,4.236726914314204e-06,0.9944235963821411,0.06374637153744697
119,0.27482178807258606,4.282881407561945e-06,0.9942841272354126,0.06327215550839901
120,0.2746591567993164,4.274425227777101e-06,0.9943407626152039,0.06244643583893776
121,0.27698811888694763,4.26931593210611e-06,0.9944063453674317,0.06240189976990223
122,0.27674466371536255,4.383935738587752e-06,0.9940092806816101,0.06270551121234894
123,0.27622243762016296,4.4723815244651634e-06,0.9940965747833252,0.06377590601146221
124,0.27556878328323364,4.2444032951607365e-06,0.9944365606307983,0.06303504225611686
125,0.2745429277420044,4.342016347436584e-06,0.994327745437622,0.06318057268857956
126,0.2756536602973938,4.166034585068701e-06,0.9943614521026611,0.06628462490439414
127,0.2757728099822998,4.540644726148457e-06,0.9940287785530091,0.06531372822821141
128,0.27530020475387573,4.121577894693474e-06,0.9945197887420655,0.06247360606491566
129,0.2753307819366455,4.666481523599942e-06,0.9939583897590637,0.06008321483433247
130,0.2755333185195923,4.24715131339326e-06,0.9942237715721131,0.0617236385345459
131,0.27547720074653625,4.15864434944524e-06,0.9945651926994323,0.06294091241061688
132,0.2750610411167145,4.55756231531268e-06,0.9942439875602722,0.06208488942682743
133,0.2752741575241089,4.3906352711928775e-06,0.9943598184585571,0.06346691998839378
134,0.2744710147380829,4.064527347509284e-06,0.9945127391815185,0.05966550324857235
135,0.275169312953949,4.073550495377276e-06,0.9946148428916931,0.06532742489874363
136,0.2750990390777588,4.210962952129194e-06,0.9944201874732971,0.06235198770463467
137,0.2747480869293213,4.133779211770161e-06,0.9944591660499573,0.06297840316593648
138,0.2760879397392273,4.173307843302609e-06,0.9946427941322327,0.06401445090770722
139,0.27529388666152954,4.412987547766534e-06,0.9941325697898865,0.06533477661013604
140,0.27520397305488586,4.128979859160609e-06,0.9943311591148376,0.06528623799979687
141,0.27492791414260864,4.3263417865091466e-06,0.9941915259361267,0.06527064175903798
142,0.2757282853126526,4.354200293164467e-06,0.9940543732643128,0.06403737206757068
143,0.2750875949859619,4.3131372858624675e-06,0.9943793253898621,0.06088212762773037
144,0.2755695581436157,4.422276007971959e-06,0.9944484434127807,0.06121904423832893
145,0.2748357653617859,4.295002323488007e-06,0.9943238425254822,0.06238918615877628
146,0.2748523950576782,4.593364710672177e-06,0.9939392318725586,0.06380226086080075
147,0.2751888632774353,4.578455937007675e-06,0.9945460119247437,0.06048706409335136
148,0.27533870935440063,4.2001895435532784e-06,0.9944869694709778,0.06127314369380474
149,0.2744918465614319,4.178471748673474e-06,0.9945032539367675,0.05916136673092842
150,0.27625325322151184,5.300430921124643e-06,0.9938047571182251,0.06164329344034195
151,0.27576321363449097,4.234212998198927e-06,0.9946525163650513,0.06281290102005005
152,0.2756251096725464,4.202885495033115e-06,0.9945311121940613,0.06122727929055691
153,0.27577856183052063,4.2266058808309025e-06,0.9945996270179749,0.060552821800112726
154,0.27477970719337463,4.803461533811059e-06,0.9941909704208374,0.061736888632178306
155,0.27569711208343506,4.407733307743911e-06,0.9945157303810119,0.05933378107845783
