,brightness,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-1.0,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
1,-0.98,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
2,-0.96,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
3,-0.94,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
4,-0.92,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
5,-0.9,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
6,-0.88,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
7,-0.86,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
8,-0.84,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
9,-0.8200000000000001,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
10,-0.8,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
11,-0.78,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
12,-0.76,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
13,-0.74,0.6650823950767517,0.0068142530508339405,0.0009635484893806279,0.06316255778074265,-inf,,0.12613418698310852,0.8964545130729675,0.3250386118888855
