,rotation,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-50.0,0.28433313965797424,0.00395278912037611,0.0002934361109510064,0.06128041446208954,22.251007080078125,,0.034026991575956345,0.9203945398330688,0.8709893822669983
1,-49.0,0.27950072288513184,0.0038814879953861237,0.0002839936350937933,0.06082118675112724,22.39265251159668,,0.03320392966270447,0.9215935468673706,0.8742800951004028
2,-48.0,0.2746373414993286,0.003809739602729678,0.00027461073477752507,0.06035427376627922,22.539331436157227,,0.03237682208418846,0.9228069186210632,0.877572238445282
3,-47.0,0.2697366774082184,0.003737526247277856,0.00026529020396992564,0.05987294763326645,22.690221786499023,,0.031547900289297104,0.9240351319313049,0.8808656930923462
4,-46.0,0.26480063796043396,0.0036649201065301895,0.00025604458642192185,0.05938000604510307,22.844635009765625,,0.03071569837629795,0.9252769351005554,0.884158194065094
5,-45.0,0.25982505083084106,0.00359185878187418,0.00024686980759724975,0.05887734517455101,23.002912521362305,,0.029880156740546227,0.926533579826355,0.8874514698982239
6,-44.0,0.25481510162353516,0.0035184172447770834,0.00023778004106134176,0.05837058275938034,23.166236877441406,,0.029042312875390053,0.9278035163879395,0.8907415866851807
7,-43.0,0.24977730214595795,0.0034445468336343765,0.0002287739043822512,0.05785439535975456,23.333738327026367,,0.028204694390296936,0.9290883541107178,0.8940281271934509
8,-42.0,0.24471671879291534,0.0033702861983329058,0.0002198593138018623,0.05732453614473343,23.505828857421875,,0.027367334812879562,0.9303876161575317,0.8973101377487183
9,-41.0,0.23962941765785217,0.0032956236973404884,0.00021103968902025372,0.05677755922079086,23.683025360107422,,0.02652580849826336,0.9317017793655396,0.9005864262580872
10,-40.0,0.23451966047286987,0.0032205795869231224,0.0002023218694375828,0.0562194399535656,23.86680793762207,,0.025683533400297165,0.9330317378044128,0.903859555721283
11,-39.0,0.22937753796577454,0.0031451666727662086,0.00019371330563444644,0.05565188080072403,24.05554962158203,,0.02484547719359398,0.9343757629394531,0.9071248769760132
12,-38.0,0.2242097705602646,0.003069328609853983,0.00018521347374189645,0.05507713556289673,24.250957489013672,,0.024004312232136726,0.935734748840332,0.9103822112083435
