,x_shift,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,-0.5,0.8113141655921936,0.010245228186249733,0.001448418595828116,0.08438432961702347,14.334090232849121,,0.15066900849342346,0.8586259484291077,
1,-0.49,0.8358550667762756,0.010705981403589249,0.0015167962992563844,0.08569150418043137,14.411419868469238,,0.15189474821090698,0.852992594242096,
2,-0.48,0.8488389849662781,0.010932366363704205,0.0015503286849707365,0.08634433150291443,14.403435707092285,,0.15244156122207642,0.85013347864151,
3,-0.47,0.8623086214065552,0.011154018342494965,0.001583090634085238,0.08700159937143326,14.372092247009277,,0.15293776988983154,0.8472582101821899,
4,-0.46,0.8917023539543152,0.011577011086046696,0.0016452384879812598,0.08835069835186005,14.26433277130127,,0.15378735959529877,0.8414955139160156,
5,-0.45,0.9071929454803467,0.011776353232562542,0.001674346742220223,0.08902192115783691,14.204237937927246,,0.15415431559085846,0.8386271595954895,
6,-0.44,0.9231411814689636,0.011966286227107048,0.0017019567312672734,0.08969282358884811,14.142165184020996,,0.15447627007961273,0.8357825875282288,
7,-0.43,0.9397128820419312,0.012145486660301685,0.001727841910906136,0.09039511531591415,14.076225280761719,,0.15475349128246307,0.8329753875732422,
8,-0.42,0.9735841751098633,0.012470207177102566,0.001774362986907363,0.09172270447015762,13.96232795715332,,0.1551557034254074,0.827538013458252,
9,-0.41000000000000003,0.9901534914970398,0.012615231797099113,0.0017949888715520501,0.09234708547592163,13.913518905639648,,0.15525253117084503,0.8249449133872986,
10,-0.4,1.0066943168640137,0.01274785865098238,0.0018137266160920262,0.09300483763217926,13.871437072753906,,0.15526841580867767,0.822461724281311,
11,-0.39,1.038023591041565,0.01297658123075962,0.001845848048105836,0.09418316930532455,13.805169105529785,,0.15503309667110443,0.8178898692131042,
12,-0.38,1.0525126457214355,0.01307272631675005,0.0018593179993331432,0.09473887085914612,13.779654502868652,,0.1547859013080597,0.8158279061317444,
13,-0.37,1.0663931369781494,0.013156205415725708,0.0018709724536165595,0.09534624218940735,13.75885009765625,,0.15444831550121307,0.813930094242096,
14,-0.36,1.0790432691574097,0.013226879760622978,0.0018808736931532621,0.09591180086135864,13.742040634155273,,0.15400400757789612,0.812205970287323,
15,-0.35,1.10023832321167,0.013329382054507732,0.0018953598337247968,0.09702572971582413,13.71855640411377,,0.1527405083179474,0.8093156814575195,
16,-0.33999999999999997,1.108811855316162,0.013359815813601017,0.0018997401930391788,0.09762127697467804,13.711434364318848,,0.15190954506397247,0.8081672787666321,
17,-0.32999999999999996,1.1156246662139893,0.01337563805282116,0.0019021236803382635,0.09817684441804886,13.70703125,,0.1509370058774948,0.8072223663330078,
18,-0.32,1.1235052347183228,0.013362908735871315,0.0019005121430382133,0.09919930249452591,13.705856323242188,,0.14860892295837402,0.805945634841919,
