,blur,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
0,0.0,0.023424090817570686,0.0,0.0,0.0,inf,,0.0,1.0,1.0
1,1.0,0.023424090817570686,0.0,0.0,0.0,inf,,0.0,1.0,1.0
2,2.0,0.023726876825094223,0.00010380952153354883,2.4862470127118286e-07,0.014617497101426125,49.93856430053711,,0.004675824660807848,0.9978654384613037,0.9994218945503235
3,3.0,0.023726876825094223,0.00010380952153354883,2.4862470127118286e-07,0.014617497101426125,49.93856430053711,,0.004675824660807848,0.9978654384613037,0.9994218945503235
4,4.0,0.024638202041387558,0.00020390305144246668,8.535329243386514e-07,0.020244041457772255,44.68020248413086,,0.014270443469285965,0.9913458824157715,0.9979556798934937
5,5.0,0.024638202041387558,0.00020390305144246668,8.535329243386514e-07,0.020244041457772255,44.68020248413086,,0.014270443469285965,0.9913458824157715,0.9979556798934937
6,6.0,0.026624109596014023,0.00035136876977048814,2.0138327272434253e-06,0.024276087060570717,40.91130447387695,,0.025293953716754913,0.9820132851600647,0.9954954981803894
7,7.0,0.026624109596014023,0.00035136876977048814,2.0138327272434253e-06,0.024276087060570717,40.91130447387695,,0.025293953716754913,0.9820132851600647,0.9954954981803894
8,8.0,0.029991814866662025,0.0005146126495674253,3.720728273037821e-06,0.027039574459195137,38.15048599243164,,0.035999152809381485,0.9726324081420898,0.9923380017280579
9,9.0,0.029991814866662025,0.0005146126495674253,3.720728273037821e-06,0.027039574459195137,38.15048599243164,,0.035999152809381485,0.9726324081420898,0.9923380017280579
10,10.0,0.0344727523624897,0.0006733391783200204,5.806405624753097e-06,0.02896912768483162,36.103515625,,0.04529479891061783,0.9642277359962463,0.988913893699646
11,11.0,0.0344727523624897,0.0006733391783200204,5.806405624753097e-06,0.02896912768483162,36.103515625,,0.04529479891061783,0.9642277359962463,0.988913893699646
12,12.0,0.03942294418811798,0.0008152729133144021,8.003957191249356e-06,0.030282454565167427,34.594017028808594,,0.05270681902766228,0.9570184350013733,0.9856504201889038
13,13.0,0.03942294418811798,0.0008152729133144021,8.003957191249356e-06,0.030282454565167427,34.594017028808594,,0.05270681902766228,0.9570184350013733,0.9856504201889038
14,14.0,0.043987199664115906,0.0009327363804914057,1.0043913789559156e-05,0.031146155670285225,33.503700256347656,,0.058157917112112045,0.9510568380355835,0.9828676581382751
15,15.0,0.043987199664115906,0.0009327363804914057,1.0043913789559156e-05,0.031146155670285225,33.503700256347656,,0.058157917112112045,0.9510568380355835,0.9828676581382751
16,16.0,0.0477280467748642,0.0010228429455310106,1.1732415259757545e-05,0.03169476240873337,32.74385452270508,,0.061860814690589905,0.9463503956794739,0.9807282090187073
17,17.0,0.0477280467748642,0.0010228429455310106,1.1732415259757545e-05,0.03169476240873337,32.74385452270508,,0.061860814690589905,0.9463503956794739,0.9807282090187073
18,18.0,0.05051770806312561,0.0010868830140680075,1.2988198250241112e-05,0.032029151916503906,32.239524841308594,,0.0641825720667839,0.9428452253341675,0.979240357875824
19,19.0,0.05051770806312561,0.0010868830140680075,1.2988198250241112e-05,0.032029151916503906,32.239524841308594,,0.0641825720667839,0.9428452253341675,0.979240357875824
20,20.0,0.052421241998672485,0.0011290149996057153,1.3832495824317448e-05,0.03222033753991127,31.924015045166016,,0.06552670896053314,0.9404098391532898,0.9783019423484802
21,21.0,0.052421241998672485,0.0011290149996057153,1.3832495824317448e-05,0.03222033753991127,31.924015045166016,,0.06552670896053314,0.9404098391532898,0.9783019423484802
22,22.0,0.05361102148890495,0.0011546630412340164,1.4348681361298077e-05,0.03232207149267197,31.73932456970215,,0.06624551117420197,0.9388458728790283,0.9777634739875793
23,23.0,0.05361102148890495,0.0011546630412340164,1.4348681361298077e-05,0.03232207149267197,31.73932456970215,,0.06624551117420197,0.9388458728790283,0.9777634739875793
24,24.0,0.054293811321258545,0.001169113558717072,1.4637324056820944e-05,0.03237273544073105,31.63863182067871,,0.06660167127847672,0.9379236102104187,0.9774811267852783
25,25.0,0.054293811321258545,0.001169113558717072,1.4637324056820944e-05,0.03237273544073105,31.63863182067871,,0.06660167127847672,0.9379236102104187,0.9774811267852783
26,26.0,0.05465437099337578,0.0011766550596803427,1.4785721759835724e-05,0.032396428287029266,31.58762550354004,,0.06676563620567322,0.9374258518218994,0.9773455262184143
27,27.0,0.05465437099337578,0.0011766550596803427,1.4785721759835724e-05,0.032396428287029266,31.58762550354004,,0.06676563620567322,0.9374258518218994,0.9773455262184143
28,28.0,0.05482997000217438,0.0011803049128502607,1.485616849095095e-05,0.0324067696928978,31.563636779785156,,0.06683593988418579,0.9371802806854248,0.9772853255271912
29,29.0,0.05482997000217438,0.0011803049128502607,1.485616849095095e-05,0.0324067696928978,31.563636779785156,,0.06683593988418579,0.9371802806854248,0.9772853255271912
30,30.0,0.054909009486436844,0.0011819450883194804,1.4887154065945651e-05,0.03241097554564476,31.55315589904785,,0.06686406582593918,0.9370692372322083,0.9772607684135437
