epoch,mean training loss,val MSE,val_SSIM,Downstream MAE
0,0.0,2.3123217515603755e-06,0.9957079367637635,0.038867350459098816
1,0.33945783972740173,4.639732545911101e-06,0.9914174203872681,0.059365406930446625
2,0.2892335057258606,1.932137813582813e-06,0.9961060190200806,0.03921227183938027
3,0.2874986529350281,6.024286183674121e-06,0.9917494215965271,0.049503206193447113
4,0.29011428356170654,8.434741843302617e-06,0.9903137550354004,0.06336811590194702
5,0.28891369700431824,4.430599650731892e-06,0.9940970559120178,0.049267685323953626
6,0.2882230281829834,1.931822544520401e-06,0.9960743370056152,0.03908293759822846
7,0.2871881425380707,8.933177687140415e-06,0.9894824924468995,0.06495554956793785
8,0.2890189588069916,2.855951926903799e-06,0.9953318467140198,0.047914609298110006
9,0.2860187292098999,1.6716588079361827e-06,0.9960617694854736,0.03869383446872234
10,0.2874867916107178,7.521565743445535e-06,0.9935869779586792,0.057218869030475614
11,0.28714504837989807,2.2639533581241266e-06,0.996046986579895,0.040921148508787156
12,0.28654712438583374,2.3412506061504247e-06,0.9960859017372131,0.04248539850115776
13,0.2862595021724701,1.9003577654075343e-06,0.9960736351013184,0.04192357558012009
14,0.2869718074798584,3.4714373814495046e-06,0.9951917648315429,0.04566959485411644
15,0.2858942449092865,1.791795487406489e-06,0.9961023607254028,0.03906178097426891
16,0.28613051772117615,6.6936405291926345e-06,0.9939725289344787,0.05119988662004471
17,0.2867797613143921,6.258049588723225e-06,0.9904019260406494,0.05472818604111671
18,0.28667306900024414,1.8213295843452216e-06,0.9961743884086609,0.03840995654463768
19,0.2859346270561218,2.2889969341122197e-06,0.995903308391571,0.0406972032636404
20,0.2865156829357147,2.1468077929966967e-06,0.9962180576324463,0.0418405122756958
21,0.28563982248306274,3.3740869739631308e-06,0.9948216466903687,0.04682815825939179
22,0.28681236505508423,8.517735259374604e-06,0.9922379474639893,0.05845158615708351
23,0.2855319380760193,4.0576589253760175e-06,0.9952516121864319,0.0469461450278759
24,0.2853914201259613,1.7455204606449116e-06,0.9964600849151611,0.03758965127170086
25,0.28496837615966797,1.958682728400163e-06,0.9962946791648865,0.04020146906375885
26,0.28481563925743103,1.6393910641454569e-06,0.9966129269599915,0.038763307243585586
27,0.2844032943248749,1.7016063025039329e-06,0.9963368496894837,0.03929502454400063
28,0.28546756505966187,2.3296695753742824e-06,0.9953391661643982,0.042872614338994024
29,0.284080445766449,4.013141862742486e-06,0.9946793746948243,0.047023887753486635
30,0.28473982214927673,2.0641909759433474e-06,0.9961630306243896,0.03874904002249241
31,0.28473833203315735,5.211244297242956e-06,0.9924842214584351,0.05001057994365692
32,0.2849070727825165,1.066187225660542e-05,0.9912091908454895,0.06479713407158852
33,0.28608188033103943,3.416653003114334e-06,0.9944542932510376,0.043027090862393376
34,0.2853056788444519,2.422301111437264e-06,0.9959244589805603,0.04150042562186718
35,0.2853086292743683,2.3538758850918384e-06,0.9951605386734009,0.046120232850313185
36,0.28480347990989685,1.6470068162561803e-06,0.9964198346138,0.03940078322589397
37,0.2850572466850281,2.3629165198144617e-06,0.9960930953025818,0.03763416628539562
38,0.2851938009262085,1.7192317345688935e-06,0.9965141177177429,0.03943265648186207
39,0.2851342558860779,2.3020701710265713e-06,0.9957631621360779,0.04107215663790703
40,0.2849169969558716,3.308317646769865e-06,0.9957292618751525,0.04370334090292454
41,0.2838992774486542,2.1608696283692554e-06,0.9962845401763916,0.039177492111921314
42,0.2840902805328369,2.342868812775123e-06,0.9958120512962342,0.04257642193138599
43,0.28497862815856934,4.577011655783281e-06,0.994877278804779,0.048096476823091504
44,0.28427934646606445,2.0373019060571094e-06,0.9960272741317749,0.03979367458820343
45,0.28407013416290283,2.184484533245268e-06,0.9962025256156921,0.04106948894262314
46,0.2844686806201935,6.089777702072752e-06,0.9939666738510132,0.05168482068181038
47,0.2848452031612396,4.160615435466752e-06,0.9919121465682983,0.04843414878845215
48,0.28461650013923645,2.438177110889228e-06,0.9963644638061523,0.04211024081707001
49,0.2835124135017395,4.102747825527331e-06,0.9943930640220642,0.046129109159111975
50,0.2859400510787964,7.235419558128342e-06,0.9935219631195068,0.05411276715993881
51,0.28438979387283325,5.313047247909708e-06,0.9946293687820434,0.052752920866012576
52,0.2842625081539154,2.9762471531284973e-06,0.9952176852226258,0.044242831528186796
53,0.28403741121292114,2.614908494251722e-06,0.9947887482643127,0.04577009661495685
54,0.28418606519699097,3.5417445496932486e-06,0.9951275253295898,0.0472679450660944
55,0.2835806608200073,2.580641594249755e-06,0.9959795055389404,0.04000041979551315
56,0.28406310081481934,8.036109029490035e-06,0.9923079328536988,0.05446367633342743
57,0.28461697697639465,1.6143921852744824e-06,0.9963416161537171,0.03882919459044933
58,0.28468093276023865,2.4462326746288454e-06,0.9962048277854919,0.04100983053445816
59,0.2837400436401367,4.442359426320763e-06,0.9959686040878296,0.046866819441318514
60,0.2841225266456604,6.304713715508115e-06,0.9935758628845215,0.051844927221536635
61,0.28344324231147766,2.6990557298631756e-06,0.9959775562286377,0.04098463709652424
62,0.28366193175315857,1.7717084920150228e-06,0.9961708445549011,0.04159369218349457
63,0.2850128412246704,2.6382389960417642e-06,0.9949814229011535,0.04824303251504898
64,0.28357866406440735,2.050174759460788e-06,0.9954154167175293,0.03795365832746029
65,0.28292152285575867,4.953578276399639e-06,0.9944022145271302,0.0492948537170887
66,0.2841240167617798,1.7173017481582065e-06,0.9966611456871033,0.037407403126358985
67,0.2829991579055786,1.6838523952174e-06,0.9961716780662536,0.03775356455147266
68,0.2836572229862213,1.4827246486674995e-06,0.9966461744308471,0.03659263500571251
69,0.28362399339675903,5.568887960180291e-06,0.9937134003639221,0.048267712891101835
70,0.2840368151664734,6.435235694880248e-06,0.992988151550293,0.051726567178964615
71,0.2841470241546631,1.7869707212412322e-06,0.9963273859024048,0.03800174579024315
72,0.28394004702568054,1.8679968707147055e-06,0.9963093633651734,0.037453754663467405
73,0.28353026509284973,1.6472663792228559e-06,0.9966714472770691,0.036855819672346114
74,0.2835930585861206,1.6539597745577339e-06,0.9965911755561828,0.03962536987662316
75,0.2839455306529999,2.4310681747010674e-06,0.9961583347320556,0.04062248559296131
76,0.284021258354187,4.188652035736595e-06,0.994742769241333,0.04390573938190937
77,0.28334471583366394,5.767933011156856e-06,0.9932423605918884,0.05002071613073349
78,0.28419679403305054,5.318315033946419e-06,0.9949812636375427,0.0490380699634552
79,0.2834944427013397,4.190743931758334e-06,0.9949774928092957,0.04601536396145821
80,0.28359997272491455,2.241715713353187e-06,0.996504946231842,0.03998114702105522
81,0.2828676998615265,2.520585333513736e-06,0.9961041626930237,0.04284628041088581
82,0.2835584580898285,1.8134792981072678e-06,0.9965813121795655,0.03853228621184826
83,0.2834230065345764,5.878196432604454e-06,0.9921167483329772,0.05010646441578865
84,0.2835022211074829,5.967242543192697e-06,0.9931645112037659,0.05220488965511322
85,0.2843097150325775,2.030983142503828e-06,0.996197166442871,0.039034437760710715
86,0.2830636203289032,2.9989076347192167e-06,0.9937895197868347,0.04930004388093948
87,0.2833962142467499,3.091055371442053e-06,0.9951522617340088,0.046203660294413564
88,0.28360041975975037,6.858457330963574e-06,0.9933564653396606,0.05084803408384323
89,0.2836835980415344,2.224754471171764e-06,0.995853343963623,0.03984808821976185
90,0.2832541763782501,2.2142884063214297e-06,0.9967084131240844,0.03973223294317722
91,0.2823975086212158,4.656448444620764e-06,0.9944543762207031,0.04865435895323753
92,0.28297746181488037,2.2751441338186852e-06,0.9961428151130677,0.04297599641978741
93,0.2839601933956146,1.4527162807098647e-06,0.9968814921379089,0.03745878046751022
94,0.28283870220184326,1.6862215784385625e-06,0.996131727218628,0.03493952429294586
95,0.2824179232120514,1.5348652709690213e-06,0.9966244187355041,0.03631902723014355
96,0.2822992503643036,3.414108453398512e-06,0.9953876013755798,0.04450912311673164
97,0.2830515205860138,1.366163516195229e-06,0.9969240627288818,0.03587749807536602
98,0.2827720642089844,1.511499282969453e-06,0.9966343240737915,0.03462880326807499
99,0.28243258595466614,1.7969287155210623e-06,0.9963424463272095,0.04071538472175598
100,0.28328830003738403,2.012955447753484e-06,0.9961616806983947,0.03855408506095409
101,0.2828333377838135,1.7708740806483547e-06,0.996535837173462,0.03911193913221359
102,0.2826545536518097,1.9070269790972816e-06,0.9961903643608093,0.04069309386610985
103,0.2821299731731415,2.2540597265106046e-06,0.995513521194458,0.0392432054579258
104,0.3426598608493805,3.244078208808787e-06,0.9944189128875732,0.04787228114902973
105,0.28530970215797424,3.35611013633752e-06,0.9961870045661926,0.04635332715511322
106,0.28359463810920715,2.0469303144636797e-06,0.9961457395553589,0.03672749818861484
107,0.2832237780094147,1.97313015742111e-05,0.9876844968795776,0.07379658523201943
108,0.28521212935447693,3.212841301319713e-06,0.9965094246864319,0.04433087809383869
109,0.2832482159137726,4.3735980398196265e-06,0.9946805891990662,0.045793807595968246
110,0.2835622727870941,3.9810885236875035e-06,0.9958484163284301,0.042588306739926335
111,0.2832641005516052,1.4171438942867098e-06,0.9969225888252258,0.03592358584702015
112,0.28246811032295227,2.37193123302859e-06,0.9959600992202758,0.04178046405315399
113,0.2837655544281006,1.7949732919078088e-06,0.9966426668167114,0.038953796476125714
114,0.28217586874961853,2.1944404647911143e-06,0.9958654899597168,0.03966253285109997
115,0.282635897397995,1.5664570310036652e-06,0.9967670392990112,0.03689413088560104
116,0.28229400515556335,1.8899075043918855e-06,0.9964178066253662,0.040792275503277776
117,0.28369444608688354,4.454481329958071e-06,0.9956884527206421,0.044951172202825546
118,0.2830098867416382,2.472358424711274e-06,0.996104887008667,0.03907477898895741
119,0.28343266248703003,1.5800669330019445e-06,0.996582028388977,0.03527989999949932
120,0.28225404024124146,5.7375551186851226e-06,0.9930768575668335,0.05477062302827835
121,0.2822539508342743,4.661727854909259e-06,0.9942332344055176,0.048446626365184785
122,0.28261247277259827,2.485598075509188e-06,0.9954496698379517,0.04118163780868053
123,0.28267553448677063,3.1596136795997154e-06,0.9962941150665283,0.04032071514427662
124,0.28250524401664734,1.4578820982933393e-06,0.9967565565109253,0.0351068390160799
125,0.2825939357280731,1.6192131911338947e-06,0.9965974287986755,0.04058283600211143
126,0.2824930250644684,1.8642435506990295e-06,0.9961829009056091,0.03794801177084446
127,0.2825121581554413,2.1886398890273997e-06,0.9967307615280151,0.03869994713366032
128,0.28217461705207825,3.3340763884552873e-06,0.9955479998588562,0.044064089953899384
129,0.282234251499176,2.6352129143560887e-06,0.9961967062950134,0.03909692604839802
